INFO 2025-10-15 18:04:09,525 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 18:04:09,526 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 18:04:09,526 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 18:04:09,526 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 18:04:09,526 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 18:04:09,526 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 18:05:34,891 chat_api.rag_service ⏱️ Tiempo de generación: 85.36s
INFO 2025-10-15 18:05:34,891 chat_api.rag_service ✅ Respuesta generada: 2514 caracteres
INFO 2025-10-15 18:07:07,437 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 18:07:07,476 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 18:07:07,476 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 18:07:07,476 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 18:07:07,476 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 18:07:07,476 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 18:07:07,476 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 18:07:07,477 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 18:07:07,477 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 18:08:53,306 chat_api.rag_service ⏱️ Tiempo de generación: 105.83s
INFO 2025-10-15 18:08:53,307 chat_api.rag_service ✅ Respuesta generada: 3426 caracteres
INFO 2025-10-15 18:09:53,902 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 18:09:53,925 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 18:09:53,925 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 18:09:53,925 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 18:09:53,925 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 18:09:53,925 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 18:09:53,925 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 18:09:53,925 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 18:09:53,925 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 18:10:56,240 chat_api.rag_service ⏱️ Tiempo de generación: 62.31s
INFO 2025-10-15 18:10:56,240 chat_api.rag_service ✅ Respuesta generada: 1819 caracteres
INFO 2025-10-15 18:12:19,126 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 18:12:19,182 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 18:12:19,182 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 18:12:19,182 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 18:12:19,182 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 18:12:19,182 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 18:12:19,182 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 18:12:19,183 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 18:12:19,183 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 18:13:21,806 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 18:13:21,829 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 18:13:21,829 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 18:13:21,829 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 18:13:21,829 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 18:13:21,829 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 18:13:21,830 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 18:13:21,830 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 18:13:21,830 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-15 18:13:33,351 chat_api.rag_service ⏱️ Tiempo de generación: 74.17s
INFO 2025-10-15 18:13:33,352 chat_api.rag_service ✅ Respuesta generada: 2457 caracteres
INFO 2025-10-15 18:14:32,761 chat_api.rag_service ⏱️ Tiempo de generación: 70.93s
INFO 2025-10-15 18:14:32,761 chat_api.rag_service ✅ Respuesta generada: 1758 caracteres
INFO 2025-10-15 18:20:31,738 chat_api.rag_service 🔍 Nueva consulta: Hola, cómo realizo una matricula por excepcion
INFO 2025-10-15 18:20:31,782 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, cómo realizo una matricula por excepcion...
INFO 2025-10-15 18:20:31,782 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.146
INFO 2025-10-15 18:20:31,782 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.752
INFO 2025-10-15 18:20:31,782 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.479
INFO 2025-10-15 18:20:31,783 chat_api.rag_service   4. Proceso de Matrícula - Información Completa - Score: 8.077
INFO 2025-10-15 18:20:31,783 chat_api.rag_service   5. Disposiciones Transitorias - Reglamento Completo - Score: 8.059
INFO 2025-10-15 18:20:31,783 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-15 18:20:31,783 chat_api.rag_service 🤖 Generando respuesta con Ollama...
ERROR 2025-10-15 18:22:31,885 chat_api.rag_service Error en Ollama: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)
ERROR 2025-10-15 18:22:31,886 chat_api.rag_service Error en generación: HTTPConnectionPool(host='localhost', port=11434): Read timed out. (read timeout=120)
INFO 2025-10-15 18:22:31,886 chat_api.rag_service ✅ Respuesta generada: 87 caracteres
INFO 2025-10-19 01:42:23,135 chat_api.rag_service ✅ RAG Service iniciado con estrategia: local
INFO 2025-10-19 01:42:40,727 chat_api.rag_service 🔍 Nueva consulta: Hola
INFO 2025-10-19 01:42:41,045 chat_api.rag_service 📊 Recuperados 0 documentos para: Hola...
INFO 2025-10-19 01:42:50,055 chat_api.rag_service 🔍 Nueva consulta: COmo se hace una matricula por excepcion
INFO 2025-10-19 01:42:50,086 chat_api.rag_service 📊 Recuperados 5 documentos para: COmo se hace una matricula por excepcion...
INFO 2025-10-19 01:42:50,086 chat_api.rag_service   1. Convalidaciones - Proceso Completo - Score: 33.014
INFO 2025-10-19 01:42:50,086 chat_api.rag_service   2. Matrícula por Excepción - Proceso Completo - Score: 28.590
INFO 2025-10-19 01:42:50,086 chat_api.rag_service   3. Reserva de Matrícula - Proceso Completo - Score: 17.150
INFO 2025-10-19 01:42:50,087 chat_api.rag_service   4. Levantamiento de Reserva - Proceso Completo - Score: 14.418
INFO 2025-10-19 01:42:50,087 chat_api.rag_service   5. Proceso de Matrícula - Información Completa - Score: 13.879
WARNING 2025-10-19 01:42:50,087 chat_api.rag_service ⚠️ Ollama no está corriendo
INFO 2025-10-19 01:42:50,087 chat_api.rag_service 💡 Inicia Ollama con: ollama serve
ERROR 2025-10-19 01:42:50,087 chat_api.rag_service Error en generación: Ollama no está disponible. Ejecuta: ollama serve
INFO 2025-10-19 01:42:50,087 chat_api.rag_service ✅ Respuesta generada: 87 caracteres
INFO 2025-10-19 01:43:20,193 chat_api.rag_service 🔍 Nueva consulta: Hola, como hago una matricula por excepcion
INFO 2025-10-19 01:43:20,228 chat_api.rag_service 📊 Recuperados 5 documentos para: Hola, como hago una matricula por excepcion...
INFO 2025-10-19 01:43:20,229 chat_api.rag_service   1. Matrícula por Excepción - Proceso Completo - Score: 23.112
INFO 2025-10-19 01:43:20,229 chat_api.rag_service   2. Convalidaciones - Proceso Completo - Score: 17.713
INFO 2025-10-19 01:43:20,229 chat_api.rag_service   3. Reactualización de Matrícula - Proceso Completo - Score: 9.452
INFO 2025-10-19 01:43:20,229 chat_api.rag_service   4. Disposiciones Transitorias - Reglamento Completo - Score: 8.040
INFO 2025-10-19 01:43:20,229 chat_api.rag_service   5. Proceso de Matrícula - Información Completa - Score: 8.030
INFO 2025-10-19 01:43:20,229 chat_api.rag_service ✅ Ollama está corriendo
INFO 2025-10-19 01:43:20,229 chat_api.rag_service 🤖 Generando respuesta con Ollama...
INFO 2025-10-19 01:44:31,820 chat_api.rag_service ⏱️ Tiempo de generación: 71.59s
INFO 2025-10-19 01:44:31,833 chat_api.rag_service ✅ Respuesta generada: 2065 caracteres
